name,type,elect,effect,version,removed in pok,exclude after,exclude in
Colonial Redistribution,Directive,Non-Home Planet Other Than Mecatol Rex,"Destroy each unit on the elected planet. Then, the player who controls that planet chooses 1 player with the fewest victory points; that player may place 1 infantry from their reinforcements on the elected planet.",base game,FALSE,,
Compensated Disarmament,Directive,Planet,"Destroy each ground force on the elected planet; for each unit that was destroyed, the player who controls that planet gains 1 trade good.",base game,FALSE,,
Economic Equality,Directive,-,"FOR: Each player returns all of their trade goods to the supply. Then, each player gains 5 trade goods. AGAINST: Each player returns all of their trade goods to the supply.",base game,FALSE,,
Incentive Program,Directive,-,FOR: Draw and reveal 1 stage I public objective from the deck and place it near the public objectives. AGAINST: Draw and reveal 1 stage II public objective from the deck and place it near the public objectives.,base game,FALSE,,
Ixthian Artifact,Directive,-,"FOR: The speaker rolls 1 die. If the result is 6-10, each player may research 2 technologies. If the result is 1-5, destroy all units in Mecatol Rex's system, and each player with units in systems adjacent to Mecatol Rex's system destroys 3 of their units in each of those systems. AGAINST: No effect.",base game,FALSE,,
Judicial Abolishment,Directive,Law,"When this agenda is revealed, if there are no laws in play, discard this card and reveal another agenda from the top of the deck. Discard the elected law from play.",base game,FALSE,,
Miscount Disclosed,Directive,Law,"When this agenda is revealed, if there are no laws in play, discard this card and reveal another agenda from the top of the deck. Vote on the elected law as if it were just revealed from the top of the deck.",base game,FALSE,,
Mutiny,Directive,-,FOR: Each player who voted For gains 1 victory point. AGAINST: Each player who voted For loses 1 victory point.,base game,FALSE,,
New Constitution,Directive,-,"When this agenda is revealed, if there are no laws in play, discard this card and reveal another agenda from the top of the deck. FOR: Discard all laws in play. At the start of the next strategy phase, each player exhausts each planet in their home system. AGAINST: No effect.",base game,FALSE,,
Public Execution,Directive,Player,"The elected player discards all of their action cards. If they have the speaker token, they give it to the player on their left. The elected player cannot vote on any agendas during this agenda phase.",base game,FALSE,,
Seed of an Empire,Directive,-,FOR: The player with most victory points gains 1 victory point. AGAINST: The player with the fewest victory points gains 1 victory point.,base game,FALSE,,
Swords to Plowshares,Directive,-,"FOR: Each player destroys half of their infantry on each planet they control, rounded up. Then, each player gains trade goods equal to the number of their infantry that were destroyed. AGAINST: Each player places 1 infantry from their reinforcements on each planet they control.",base game,FALSE,,
Unconventional Measures,Directive,-,FOR: Each player that voted For draws 2 action cards. AGAINST: Each player that voted For discards all of their action cards.,base game,FALSE,,
Wormhole Research,Directive,-,"FOR: Each player who has 1 or more ships in a system that contains a wormhole may research 1 technology. Then, destroy all ships in systems that contain an alpha or beta wormhole. AGAINST: Each player that voted Against removes 1 command token from their command sheet and returns it to their reinforcements.",base game,FALSE,,
Articles of War,Law,-,FOR: All mechs lose their printed abilities except for SUSTAIN DAMAGE. AGAINST: Each player that voted For gains 3 trade goods.,pok,FALSE,,
Checks and Balances,Law,-,"FOR: When a player chooses a strategy card during the strategy phase , they give that strategy card to another player that does not have 1 (or a player that does not have 2 in a three- or four-player game), if able. AGAINST: Each player readies only 3 of their planets at the end of this agenda phase.",pok,FALSE,,
Nexus Sovereignty,Law,-,FOR: Alpha and beta wormholes in the wormhole nexus have no effect during movement. AGAINST: Place a gamma wormhole token in the Mecatol Rex system.,pok,FALSE,,
Political Censure,Law,Player,"The elected player gains this card and 1 victory point. The elected player cannot play action cards . If the owner of this card loses this card, they lose 1 victory point.",pok,FALSE,,
Representative Government,Law,-,"FOR: Players cannot exhaust planets to cast votes during the agenda phase; each player may cast 1 vote on each agenda instead. Players cannot cast additional votes. AGAINST: At the start of the next strategy phase, each player that voted Against exhausts all of their cultural planets.",pok,FALSE,,
Search Warrant,Law,Player,The elected player gains this card and draws 2 secret objectives. The owner of this card plays with their secret objectives revealed.,pok,FALSE,,
Armed Forces Standardization,Directive,Player,"The elected player places command tokens from their reinforcements so that they have 3 tokens in their tactic pool, 3 tokens in their fleet pool and 2 tokens in their strategy pool. They return any excess tokens to their reinforcements.",pok,FALSE,,
Clandestine Operations,Directive,-,FOR: Each player removes 2 command tokens from their command sheet and returns those tokens to their reinforcements. AGAINST: Each player removes 1 command token from their fleet pool and returns that token to their reinforcements.,pok,FALSE,,
Covert Legislation,Directive,-,"When this agenda is revealed, the speaker draws the next card in the agenda deck but does not reveal it to the other players. Instead, the speaker reads the eligible outcomes aloud (for, against, elect player, etc.); the other players vote for these outcomes as if they were outcomes of this agenda, without knowing their effects.",pok,FALSE,,
Galactic Crisis Pact,Directive,Strategy Card,Each player may perform the secondary ability of the elected strategy card without spending a command token; command tokens placed by the ability are placed from a player's reinforcements instead.,pok,FALSE,,
Minister of Antiques,Directive,Player,The elected player gains 1 relic .,pok,FALSE,,
Rearmament Agreement,Directive,-,FOR: Each player places 1 mech from their reinforcements on a planet they control in their home system. AGAINST: Each player replaces each of their mechs with 1 infantry from their reinforcements.,pok,FALSE,,
Research Grant Reallocation,Directive,Player,"The elected player gains any 1 technology of their choice. Then, for each prerequisite on that technology, they remove 1 token from their fleet pool and return it to their reinforcements.",pok,FALSE,,
Arbitrate,Edict,-,"You may discard any of your spliced cards. For each card you discarded, draw 1 card of that type. Then, you may allow any other players to do the same.",twilights fall,FALSE,,
Convene,Edict,-,"Reveal ability cards equal to the number of players. The speaker chooses 1 of them for you to gain. Then, you choose 1 ability for each other player to gain.",twilights fall,FALSE,,
Legacy of Ixth,Edict,-,"Roll 1 die: 1-5: Destroy each unit in the Mecatol Rex system, then each player destroys 3 of their units in each system adjacent to Mecatol Rex. 6-9: Each player draws 1 spliced card from any deck. 10: Draw up to 2 spliced cards from any decks.",twilights fall,FALSE,,
Splice,Edict,-,"Initiate a splice of any type, including all players.",twilights fall,FALSE,,
Censure,Edict,-,Place any player's control token on this card. That player cannot perform transactions during this game round. Discard this card at the end of the status phase.,twilights fall,FALSE,,
Bless,Edict,-,"Gain each of the following, then each other player chooses 1 of the following to gain: 1 command token;  2 action cards;  3 trade goods.",twilights fall,FALSE,,
Execute,Edict,-,"Choose up to 3 planets; destroy half of the infantry on each of those planets, rounded up.",twilights fall,FALSE,,
Foretell,Edict,-,Look at up to 3 unrevealed public objectives.,twilights fall,FALSE,,
Artifice,Edict,-,"Draw 1 relic and 1 paradigm; for each point behind the player with the most victory points you are, you may draw an additional card from either deck. Choose one of each type to keep and shuffle the rest back into their respective decks.",twilights fall,FALSE,,
Arise,Edict,-,Either place 1 infantry on all planets you control or 1 fighter in each system that contains your ships.,twilights fall,FALSE,,
